 An,Ac,Reco,NEE
   0.00000000     ,  -0.00000000     ,   1.44516349     ,   1.44516349    
   0.00000000     ,  -0.00000000     ,   1.13045430     ,   1.13045430    
   0.00000000     ,  -0.00000000     ,   1.05925703     ,   1.05925703    
   0.00000000     ,  -0.00000000     ,   1.05925703     ,   1.05925703    
   0.00000000     ,  -0.00000000     ,   1.13045430     ,   1.13045430    
   0.00000000     ,  -0.00000000     ,   1.28182805     ,   1.28182805    
   0.00000000     ,  -0.00000000     ,   1.53113639     ,   1.53113639    
   0.00000000     ,  -0.00000000     ,   1.90345800     ,   1.90345800    
   5.38233757     ,  -8.07805359E-03 ,   2.42649317     ,   2.43457127    
   9.02404308     ,  -1.35436896E-02 ,   3.11984134     ,   3.13338494    
   11.9169149     ,  -1.78854410E-02 ,   3.97711635     ,   3.99500179    
   14.7664051     ,  -2.21620854E-02 ,   4.94421911     ,   4.96638107    
   17.1966534     ,  -2.58095097E-02 ,   5.90584230     ,   5.93165159    
   18.7697277     ,  -2.81704515E-02 ,   6.69666433     ,   6.72483492    
   19.1339989     ,  -2.87171658E-02 ,   7.14677715     ,   7.17549419    
   17.9800262     ,  -2.69852318E-02 ,   7.14677715     ,   7.17376232    
   14.6410580     ,  -2.19739582E-02 ,   6.69666433     ,   6.71863842    
   6.26158857     ,  -9.39767342E-03 ,   5.90584230     ,   5.91523981    
   0.00000000     ,  -0.00000000     ,   4.94421911     ,   4.94421911    
   0.00000000     ,  -0.00000000     ,   3.97711635     ,   3.97711635    
   0.00000000     ,  -0.00000000     ,   3.11984134     ,   3.11984134    
   0.00000000     ,  -0.00000000     ,   2.42649317     ,   2.42649317    
   0.00000000     ,  -0.00000000     ,   1.90347123     ,   1.90347123    
   0.00000000     ,  -0.00000000     ,   1.53113639     ,   1.53113639    
   0.00000000     ,  -0.00000000     ,   1.28041613     ,   1.28041613    
   0.00000000     ,  -0.00000000     ,   1.49677026     ,   1.49677026    
   0.00000000     ,  -0.00000000     ,   1.41504002     ,   1.41504002    
   0.00000000     ,  -0.00000000     ,   1.41504002     ,   1.41504002    
   0.00000000     ,  -0.00000000     ,   1.49677026     ,   1.49677026    
   0.00000000     ,  -0.00000000     ,   1.66826999     ,   1.66826999    
   0.00000000     ,  -0.00000000     ,   1.94488204     ,   1.94488204    
   0.00000000     ,  -0.00000000     ,   2.34687805     ,   2.34687805    
   5.26946211     ,  -8.96396954E-03 ,   2.89403605     ,   2.90300012    
   9.98128319     ,  -1.69793256E-02 ,   3.59522676     ,   3.61220598    
   12.9540443     ,  -2.20363401E-02 ,   4.43342829     ,   4.45546484    
   15.5916376     ,  -2.65231933E-02 ,   5.34979153     ,   5.37631464    
   17.6769905     ,  -3.00706215E-02 ,   6.23682928     ,   6.26690006    
   18.8589535     ,  -3.20812762E-02 ,   6.95144463     ,   6.98352575    
   18.8262138     ,  -3.20255831E-02 ,   7.35294914     ,   7.38497496    
   17.2507896     ,  -2.93456037E-02 ,   7.35294914     ,   7.38229465    
   13.4322433     ,  -2.28498112E-02 ,   6.95144463     ,   6.97429466    
   5.28717995     ,  -8.99410900E-03 ,   6.23682928     ,   6.24582338    
   0.00000000     ,  -0.00000000     ,   5.34982872     ,   5.34982872    
   0.00000000     ,  -0.00000000     ,   4.43342829     ,   4.43342829    
   0.00000000     ,  -0.00000000     ,   3.59522676     ,   3.59522676    
   0.00000000     ,  -0.00000000     ,   2.89403605     ,   2.89403605    
   0.00000000     ,  -0.00000000     ,   2.34689426     ,   2.34689426    
   0.00000000     ,  -0.00000000     ,   1.94488204     ,   1.94488204    
   0.00000000     ,  -0.00000000     ,   1.66664922     ,   1.66664922    
   0.00000000     ,  -0.00000000     ,   1.47118700     ,   1.47118700    
